,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
4,"35.
Shazam! Fury of the Gods
(2023)",(2023),PG13,130 min,"Action, Adventure, Comedy",6.0,47,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","Votes:
68,412"
5,"42.
Mafia Mamma
(2023)",(2023),R,101 min,"Action, Comedy, Crime",5.3,43,"An American mom inherits her grandfather's mafia empire in Italy. Guided by the firm's consigliere, she hilariously defies everyone's expectations as the new head of the family business.","Votes:
3,446"
0,"9.
A Man Called Otto
(2022)",(2022),NC16,126 min,"Comedy, Drama",7.5,51,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.","Votes:
79,192
| Gross:
$62.47M"
1,"12.
Air
(I) (2023)",(I) (2023),NC16,111 min,"Drama, Sport",7.5,73,"Follows the history of shoe salesman Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.","Votes:
62,974"
2,"34.
Beau Is Afraid
(2023)",(2023),R,179 min,"Comedy, Drama, Horror",7.2,63,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","Votes:
15,362"
3,"50.
BlackBerry
(2023)",(2023),R,120 min,"Biography, Comedy, Drama",7.9,80,The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"Votes:
1,811"
0,"1.
The Super Mario Bros. Movie
(2023)",(2023),PG,92 min,"Animation, Adventure, Comedy",7.2,46,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,"Votes:
111,060"
1,"3.
Peter Pan & Wendy
(2023)",(2023),PG,106 min,"Action, Adventure, Comedy",4.1,61,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.","Votes:
20,047"
2,"5.
Are You There God? It's Me, Margaret.
(2023)",(2023),PG-13,106 min,"Comedy, Drama, Family",7.9,85,"When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.","Votes:
2,918"
3,"6.
Crater
(2023)",(2023),PG,105 min,"Adventure, Drama, Family",5.0,65,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to permanently leaving the Moon and relocated to another planet.","Votes:
1,887"
4,"8.
Puss in Boots: The Last Wish
(2022)",(2022),PG,102 min,"Animation, Adventure, Comedy",7.9,73,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Votes:
127,868
| Gross:
$168.46M"
5,"9.
Peter Pan
(2003)",(2003),PG,113 min,"Adventure, Family, Fantasy",6.8,64,"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.","Votes:
76,892
| Gross:
$48.46M"
6,"10.
Harry Potter and the Sorcerer's Stone
(2001)",(2001),PG,152 min,"Adventure, Family, Fantasy",7.6,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Votes:
807,885
| Gross:
$317.58M"
7,"12.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,87,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
561,759
| Gross:
$190.24M"
8,"13.
The Goonies
(1985)",(1985),PG,114 min,"Adventure, Comedy, Family",7.7,62,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,"Votes:
284,537
| Gross:
$61.50M"
9,"15.
Matilda
(1996)",(1996),PG,98 min,"Comedy, Family, Fantasy",7.0,72,"A girl gifted with a keen intellect and psychic powers uses both to deal with her crude, distant family and free her kind teacher from their sadistic headmistress.","Votes:
163,539
| Gross:
$33.08M"
10,"16.
Hook
(1991)",(1991),PG,142 min,"Adventure, Comedy, Family",6.8,52,"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.","Votes:
262,996
| Gross:
$119.65M"
11,"18.
The Jungle Book
(2016)",(2016),PG,106 min,"Adventure, Drama, Family",7.4,77,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","Votes:
283,230
| Gross:
$364.00M"
12,"22.
Super Mario Bros.
(1993)",(1993),PG,104 min,"Adventure, Comedy, Family",4.1,35,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.","Votes:
60,062
| Gross:
$20.92M"
13,"23.
The Princess Bride
(1987)",(1987),PG,98 min,"Adventure, Comedy, Family",8.0,77,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Votes:
435,686
| Gross:
$30.86M"
14,"24.
Tangled
(2010)",(2010),PG,100 min,"Animation, Adventure, Comedy",7.7,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Votes:
468,351
| Gross:
$200.82M"
15,"25.
Sing 2
(2021)",(2021),PG,110 min,"Animation, Adventure, Comedy",7.4,49,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Votes:
75,010
| Gross:
$162.79M"
